date,1001_PM,1002_PM,1004_PM,1005_PM,1008_PM,1009_PM,1011_PM,1012_PM,1039_PM,1040_PM,1041_PM,BS_PM,BK_PM,RS_PM,MP_PM,1001_NO2,1002_NO2,1004_NO2,1005_NO2,1008_NO2,1009_NO2,1011_NO2,1012_NO2,1039_NO2,1040_NO2,1041_NO2,BS_NO2,BK_NO2,RS_NO2,MP_NO2,1001_O3,1002_O3,1004_O3,1005_O3,1008_O3,1009_O3,1011_O3,1012_O3,1039_O3,1040_O3,1041_O3,BS_O3,BK_O3,RS_O3,MP_O3
6/18/2022,5.562036,5.889491,4.73394,4.167451,4.660607,4.661573,4.183357,3.950513,NA,NA,5.293734,4.8305732,3.9031847,2.6610757,3.8008511,22.35457512,17.71029985,14.81462436,14.51249017,13.35857411,18.30544191,11.05874729,18.68268603,13.82140791,16.3520622,20.1397656,7.267391,5.58,6.146667,8.588333,18.19137952,23.53951904,23.96880059,23.83328722,25.11307658,22.06987999,28.16777691,24.65660915,34.95601599,28.24401271,32.40502945,28.213717,21.788333,32.196042,21.777292
6/19/2022,6.751575,5.697856,5.081685,4.598139,5.242406,4.916506,4.3539,3.636337,NA,NA,5.31917,3.8069356,3.7760793,3.3215853,4.4587527,18.19021451,14.80954387,12.67651571,13.05014585,11.67365754,14.33782798,10.72956881,19.2732002,12.89965326,12.13927236,14.93435083,9.880435,6.926667,14.966667,6.965,18.95057692,22.95532303,21.001511,25.11302751,23.99896081,26.41388596,26.07033526,24.91238036,33.99111485,23.49230961,30.71894831,23.73385,23.273958,26.706042,22.678125
6/20/2022,5.297351,4.963824,4.208582,3.600396,4.480133,4.393863,3.77127,2.738632,NA,NA,4.491394,3.9184006,3.4128096,3.368719,3.9799291,23.20900827,19.27517535,21.11012447,18.18394433,15.97292119,24.25910171,13.30979194,21.57110452,15.35356428,16.93504889,19.61373559,15.404348,10.283333,13.95,14.386667,17.05355612,22.68920087,18.23374415,24.72674917,19.72652946,17.85267407,25.94171742,25.73570552,34.65950691,23.11458838,27.64909078,25.363496,18.68,30.631667,18.192917
6/21/2022,6.194349,5.695175,4.687579,4.219821,4.740272,4.978376,4.026778,3.653482,NA,NA,5.36154,5.4821928,5.4202406,3.7278839,3.7233333,20.74414496,22.58649545,15.29736344,16.43476758,17.25508996,23.73646562,11.74306171,18.40226964,17.40406265,14.8105846,17.9714279,12.065517,13.213333,20.848333,8.76,13.6743136,16.38899235,17.7782973,18.53875093,15.96920131,13.68938575,23.38922633,20.61943335,30.04748916,20.74759209,26.40109631,21.481458,16.896458,26.185833,18.185833
6/22/2022,3.184138,2.098507,1.589502,1.536914,1.899768,2.010902,1.511779,1.284101,NA,NA,1.977065,3.2526539,2.5057325,2.5244203,1.8733237,21.3843828,13.56645376,10.34446587,11.14102046,10.51424136,16.14603004,9.598327905,19.01501615,12.76427765,10.53465478,13.59510831,12.351667,11.147458,9.247826,8.993478,26.41976511,30.98466574,35.61277464,41.38163978,32.83799881,32.26604182,37.13992648,44.75306637,48.3371814,39.49871119,41.84994985,28.58208,26.071875,28.606875,23.853958
6/23/2022,2.785793,2.285924,2.070308,1.757931,2.232539,2.210465,1.942015,1.489271,NA,NA,2.231668,3.0067233,1.9093418,1.3764331,1.8892427,23.52740259,26.94434159,17.77951256,19.12949021,15.3235541,19.05692679,16.54353662,32.73738374,19.24084752,17.51542469,20.20554065,11.65,9.222222,16.106667,6.38,19.58654193,27.58709647,23.13501022,29.88308574,25.68923997,24.14367906,29.20681991,39.45586185,38.40005247,26.65868555,32.2467558,25.583542,22.458125,27.130625,23.104375
6/24/2022,2.901173,2.573614,2.294038,2.010252,2.392812,1.920378,2.021347,1.64496,NA,NA,2.14088,4.5458599,3.7579826,2.1523001,1.890092,24.36618116,27.70099261,24.09177224,24.41659178,25.30964251,22.41136885,22.18732012,25.24495149,23.96856555,20.32655515,24.50726908,15.219565,13.998276,17.62,17.68,20.76735924,26.49407862,20.30932553,39.6343066,22.31326642,22.38494122,25.82745455,58.5923049,45.26581859,27.79537816,28.68082236,25.433333,19.619403,25.866875,22.166042
6/25/2022,2.310448,2.676061,2.913606,1.980517,2.472936,1.710805,2.185888,1.346323,NA,NA,2.016639,11.8336872,6.033121,4.9409766,3.206728,24.20913083,24.29419173,22.05094576,26.4447866,24.03704435,24.75244251,22.20172279,22.99918729,22.91031453,22.99224566,26.84678709,20.063333,14.098333,13.75,15.173913,29.41114683,36.99461766,37.629477,57.6346264,35.72130541,44.11014422,41.60487828,74.46633659,11.87062451,44.80356591,50.72887544,32.901327,27.03625,27.073542,25.995625
6/26/2022,3.610401,2.986675,2.899235,2.48804,3.361997,2.591413,2.272427,1.532734,NA,NA,2.508918,5.8272663,6.0726822,7.5497523,5.6759915,30.26370194,30.59851616,25.55661626,26.93983336,27.49850896,25.03171864,23.46753476,24.50036532,NA,26.46127016,27.99913963,18.165217,22.196667,20.411667,28.28,27.76163097,41.84617381,41.56561244,71.00707343,36.76439806,41.66605416,45.85605333,72.76969522,NA,48.29305118,49.77625642,34.029867,28.407708,30.253542,25.867917
6/27/2022,6.025896,5.35007,5.057804,4.426018,6.371487,4.774591,4.326108,2.675975,NA,NA,4.831934,12.6242746,11.5085633,7.1531493,10.0222695,25.52715383,25.25478524,25.17179816,27.36618702,26.34000472,24.53551048,23.27351141,24.18655965,NA,23.7703276,26.57383894,21.703333,23.783333,19.413043,29.763333,29.67132362,43.48069549,41.80698218,61.58727183,35.99858581,41.61130394,45.14183939,56.11432869,NA,50.29068452,50.3397616,43.609513,47.623958,40.571875,37.467708
6/28/2022,5.659372,5.196471,4.649958,4.123656,4.883363,4.460942,4.050652,3.317863,NA,NA,5.053988,7.5381458,4.8363765,4.0355272,6.6441844,17.69072213,17.83787055,15.92586246,18.36677432,14.67238522,20.04714367,12.25687665,24.77109999,NA,16.85220017,19.11928548,11.417391,15.028261,5.595,16.46087,28.66415407,27.14550342,30.56304247,29.3625895,29.63711806,32.67543407,36.28509666,14.97275082,NA,30.71771756,35.11031884,29.951667,28.667708,31.19125,26.645283
6/29/2022,4.141804,3.739875,3.68327,2.648552,3.163065,3.223474,2.651796,3.320565,NA,NA,3.389728,3.6576079,2.4041047,2.8783439,4.3256028,22.23763993,23.62388853,18.26819711,19.22954746,14.96497713,18.09387994,15.3954474,25.13343471,NA,17.52404596,20.79648022,8.058333,10.851667,13.581667,10.42,17.72722268,17.9936094,19.44354457,19.98253199,20.69658118,18.28998207,25.99788069,12.52855046,NA,21.00835054,26.9256492,24.682917,18.507917,25.366042,18.021458
6/30/2022,4.574057,3.818372,4.33784,4.376216,5.465275,3.916796,2.843868,2.518579,NA,NA,3.414081,3.9309271,3.92477,2.9232838,3.7258156,25.32782963,26.98407883,23.48062185,26.78415155,24.0460168,25.75701131,20.19644295,35.65805625,NA,22.70891789,24.87907754,14.145,18.311667,20.4,13.216667,21.69026837,27.0656668,26.98191409,38.26779828,26.50838816,22.69342926,32.19706947,32.69980343,NA,27.9046131,34.40941369,23.884167,21.191667,25.245208,19.506667
7/1/2022,5.21078,3.754639,3.212,2.629973,3.589826,3.710156,2.778545,1.898583,NA,NA,3.040509,5.8174098,6.0915782,5.736235,3.5068794,34.82370097,22.85995605,20.25413522,24.64342363,19.91306809,20.36079506,18.67303814,27.48916241,NA,23.82425997,20.71519348,17.69322,15.384783,12.241304,14.648333,18.67328428,33.5641238,35.30812812,47.04586526,32.02445449,29.87900799,37.91246824,38.64765667,NA,33.16949185,39.12470982,26.633125,28.536458,31.041667,26.490417
7/2/2022,6.183571,6.024992,5.564644,4.92106,5.942972,5.403499,5.00229,3.674489,NA,NA,5.315807,4.2249115,5.9162774,4.2903751,5.9426241,28.98249647,27.43160434,17.5299567,17.12086606,14.06377673,24.57688979,16.51472074,24.46693983,NA,19.8260468,20.01333082,13.388333,10.991304,9.028261,24.415,21.69105278,26.54659542,24.84950204,32.65502142,28.05260035,28.63414672,31.61102899,19.67064681,NA,27.11022228,33.34700203,28.558628,29.1975,29.145833,24.461667
7/3/2022,5.246288,5.358662,4.612048,4.19312,4.598985,4.477899,4.212528,4.138717,NA,NA,5.235276,3.791649,2.1168436,2.2682236,3.1004255,15.4124959,14.73890982,10.6503032,11.96326106,11.30113238,12.71937805,8.07097956,17.29198064,NA,9.869537866,10.21187562,6.006667,3.778333,4.651667,4.985,18.88863241,22.2725638,20.97786167,20.37614838,23.17696846,27.06140998,26.96518818,9.650949153,NA,20.26590628,26.37657551,20.033019,20.941745,20.701458,21.67783
7/4/2022,5.821775,5.579896,4.619009,4.194488,4.839682,4.624882,4.045156,4.046608,NA,NA,5.360191,4.2576787,2.894126,4.1992215,2.0065957,21.4048434,18.57187041,17.2783251,15.53192102,15.04959673,16.63563473,10.29445222,20.58035672,NA,15.70111136,21.45078585,12.168333,9.13,16.431667,6.863333,8.66439391,11.47645773,11.99512434,12.1190597,13.65562299,13.39201199,17.38050286,9.479361917,NA,11.87966487,15.32599901,14.763717,11.869792,17.777083,14.9125
