date,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
7/10/2022,23.89689733,25.23963991,19.21093531,22.69630966,17.889558,21.16855099,NA,29.97479325,NA,18.12050598,22.30804919,13.117391,15.186957,20.788333,8.571667
7/11/2022,32.53465826,28.88419999,25.50986784,26.7262155,24.60156051,22.43961266,NA,41.94585331,NA,25.07727834,25.79319224,19.85,27.868333,30.34,29.25
7/12/2022,22.08467936,22.27626979,22.66621593,21.60061132,19.76517315,21.51116246,NA,29.55104679,NA,21.71578898,24.36458835,18.86087,15.46,19.984783,16.686667
7/13/2022,20.92117317,19.96430627,15.85019214,20.02957719,16.45838553,19.63340777,NA,28.45484869,NA,20.42276202,22.53557759,14.276667,13.240678,10.875,9.069565
7/14/2022,22.03936713,20.70007968,17.42017954,19.48441532,17.70804297,19.05913144,NA,28.0109162,NA,22.71143329,24.61399411,15.354348,12.098333,9.543333,21.011667
7/15/2022,24.2937073,26.37540767,17.47751079,18.81794305,16.98718828,22.45368083,NA,26.74689496,NA,19.04155261,23.81915188,13.626667,13.752542,17.485,10.18
7/16/2022,21.91467679,21.56135335,17.23006174,18.28794868,15.92545326,21.54354328,NA,22.23866387,NA,17.34282472,17.53360405,10.915217,12,16.106522,14.985
7/17/2022,35.84696614,22.7351357,25.42667768,19.26158269,19.76974689,19.69773647,NA,36.21589424,NA,22.49930302,21.38495549,9.305,19.296667,9.31,13.51
7/18/2022,21.99834563,23.07782145,20.61024127,20.58611383,17.20944363,24.59450942,NA,22.98563464,NA,20.26623729,15.64065812,10.857627,12.566667,14.791667,15.125
7/19/2022,25.55516667,26.35809362,21.14002734,24.83132527,19.58867944,21.78371942,NA,33.7246192,NA,22.26212452,17.19152413,17.221667,12.311864,19.905,14.033333
7/20/2022,23.06689994,24.30504984,22.23507444,25.17088672,20.83437317,21.63062082,20.14371376,29.6605556,NA,18.31768544,20.78858949,18.769565,15.781667,15.32,15.605
7/21/2022,25.67283125,23.08412878,26.06961022,26.93718662,24.27331374,24.90176149,21.05131398,31.30181706,NA,26.31841495,23.21850319,18.328333,25.795,13.595652,22.37
7/22/2022,22.87779487,22.24225187,16.30024732,22.41218697,16.49202247,22.35208824,13.01248369,26.61725452,NA,20.36019928,19.54733572,12.523333,14.31,6.45,18.368333
7/23/2022,25.5957346,22.70060195,15.70682644,22.11679504,17.79199309,22.35510556,14.63473286,30.32976255,NA,16.55940605,16.29151554,10.728333,10.479661,13.08,19.418333
7/24/2022,56.96907002,27.0519551,23.34316952,26.71466666,21.43061392,23.00144326,20.92290109,30.15189817,NA,23.61593591,22.42679784,18.378333,17.905,9.803333,15.746667
7/25/2022,26.00750943,25.60069559,23.87985979,26.04113355,24.2704408,25.50024321,24.013109,30.24479493,NA,25.77828652,25.54754037,21.559322,23.198333,16.013333,25.165
7/26/2022,25.58824033,30.37841277,24.02678536,29.64302448,26.03154406,28.55250209,24.22632966,27.51393455,NA,25.72300252,25.70053871,21.508333,24.475,18.896667,21.311667
7/27/2022,29.56637844,25.060719,22.83097561,24.972286,25.04863079,22.70897997,20.87373939,28.35366559,NA,22.98708252,25.21310933,26.576667,23.675,17.675,38.955
7/28/2022,29.86091074,27.14821214,31.91113799,29.06167017,26.40207543,24.09910596,24.48345408,32.81881274,NA,27.44090571,28.55461749,25.33,36.084783,33.765,32.536957
7/29/2022,29.38381493,32.29006526,28.34011176,32.24942333,26.71667725,27.70932214,24.73397678,40.30030162,NA,29.11328224,29.32145622,24.44,19.071739,25.655,31.536667
7/30/2022,33.94388603,36.28381179,27.48783546,29.12964038,24.18477726,23.54076254,22.47987383,39.25120717,NA,28.8850041,27.41580916,17.102174,20.15,18.181667,22.955
7/31/2022,36.77198863,55.07914258,26.18555659,28.71564775,25.87933379,25.28875732,22.55625462,41.21702437,NA,27.29139046,27.97728688,22.696667,17.483333,13.938333,28.355
8/1/2022,23.11295798,27.44854751,22.43802719,25.58609362,22.10339901,17.2617546,17.15719549,30.03973094,NA,25.79449182,20.88247926,15.976271,13.567391,12.273913,24.926087
8/2/2022,21.22577364,19.28952133,17.23814422,17.53736158,13.89840233,20.61777961,11.9118182,28.34097311,NA,21.58889703,16.70192661,14.878333,13.495,15.685,13.828261
8/3/2022,23.87563113,24.88582561,17.16915445,19.9083591,19.81712391,26.69057557,17.19440238,29.53813732,NA,20.29207027,24.56067519,16.306667,12.326087,15.682609,11.835
8/4/2022,16.72741274,21.01845319,15.78454319,18.22524668,14.21256801,18.12647885,12.09273233,30.26368449,NA,16.85686021,14.96437981,13.44,10.371667,11.951667,15.267391
8/5/2022,NA,19.83639614,16.7489115,19.96010894,16.69312448,19.48828442,14.781939,23.22023426,NA,19.58226695,15.6957466,11.554348,8.605,17.638333,12.561667
8/6/2022,NA,24.22787145,21.00391268,24.58179683,21.58955596,21.04441643,18.87030908,29.86712727,NA,22.56046388,20.29144017,16.871739,17.403333,15.145652,23.148333
8/7/2022,NA,22.90061874,21.19235628,24.36628267,22.1708258,26.37726611,23.10367513,30.08918338,NA,24.94183284,22.9043797,18.141667,17.12,12.313043,19.825
8/8/2022,NA,28.09386439,32.94023057,35.51310916,27.00803809,27.51478576,25.14323367,35.54177265,NA,28.35164016,29.20006751,17.854348,20.598333,16.2,23.293333
8/9/2022,NA,27.05999182,23.79353908,29.84713201,29.39667445,28.02709236,22.72416925,30.20380057,NA,26.16567151,27.91834979,18.568333,18.953333,13.581667,35.411667
8/10/2022,NA,23.50948579,19.97233476,21.39924567,21.28747448,23.94262967,18.17017779,25.40886522,NA,22.53770672,23.71185302,24.766667,20.218333,14.09,25.921739
8/11/2022,NA,30.4663206,25.24487782,29.29649891,26.5703015,27.65546539,22.43653989,38.36849857,NA,25.03203185,28.09754591,23.228814,20.331667,24.33,20.198333
8/12/2022,NA,25.7790304,22.42564791,25.55574334,23.57925029,28.45949908,21.72362858,26.40097332,NA,24.06668313,24.83481313,24.471667,22.255,17.002174,21.48
8/13/2022,NA,23.51694603,16.534285,23.93904174,19.52652568,17.55413263,16.88244577,27.76282902,NA,17.69340025,23.893601,10.523913,15.503333,23.861667,7.045652
8/14/2022,NA,30.13350862,24.23789176,31.71924918,27.19774929,30.88480826,23.31267508,34.59495269,NA,29.60275916,28.84661459,17.415,25.803333,25.016667,12.878333
8/15/2022,NA,34.30988332,25.94905236,29.93701362,27.40611456,25.98267296,24.03478681,30.60852269,NA,35.02320988,26.54742356,21.371667,24.784783,18.767391,20.85
8/16/2022,NA,31.00378353,26.57776736,32.03668165,29.80822049,26.10114412,22.01588539,33.29972116,NA,30.26586395,28.8920878,26.443333,15.285,22.656667,26.343333
8/17/2022,NA,32.91306159,31.86930752,28.66646754,26.08876225,26.04597439,25.11231625,41.42731179,NA,32.94800103,30.03646561,25.615217,31.49,20.545652,31.516667
8/18/2022,NA,35.79495932,28.30652654,35.95982576,33.18828079,34.12111199,27.44176892,42.89398684,NA,32.37164772,31.71752609,26.216667,32.088333,22.816667,26.073333
8/19/2022,NA,32.72763778,26.01436315,29.20159053,26.70749612,28.17903082,24.1170931,36.35310109,NA,28.84718002,30.53364516,24.73,28.655,22.35,32.898333
8/20/2022,NA,19.27158466,16.17099879,18.31231523,16.27568159,18.16971172,12.6894877,28.24112091,NA,18.52992486,23.59920889,14.597826,12.013333,11.708333,21.181667
8/21/2022,NA,23.22867599,20.85302705,18.14673224,14.22724618,18.13721709,12.72914612,27.14151916,NA,18.98709374,23.77497676,17.4,17.37,9.475,29.205
8/22/2022,NA,28.44933036,23.90450811,30.28888517,27.62081288,30.85432573,24.30633237,35.65386942,NA,25.35187168,28.84720337,18.41,25.991667,24.205,22.818333
8/23/2022,NA,24.10665927,22.86436191,23.63355704,21.1006317,28.21229628,19.10942577,26.72651338,NA,24.97754533,16.65197909,17.728333,22.323913,13.176667,27.631667
