time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
7/1/2022,18.67328428,33.5641238,35.30812812,47.04586526,32.02445449,29.87900799,37.91246824,38.64765667,NA,33.16949185,39.12470982,26.633125,28.536458,31.041667,26.490417
7/2/2022,21.69105278,26.54659542,24.84950204,32.65502142,28.05260035,28.63414672,31.61102899,19.67064681,NA,27.11022228,33.34700203,28.558628,29.1975,29.145833,24.461667
7/3/2022,18.88863241,22.2725638,20.97786167,20.37614838,23.17696846,27.06140998,26.96518818,9.650949153,NA,20.26590628,26.37657551,20.033019,20.941745,20.701458,21.67783
7/4/2022,8.66439391,11.47645773,11.99512434,12.1190597,13.65562299,13.39201199,17.38050286,9.479361917,NA,11.87966487,15.32599901,14.763717,11.869792,17.777083,14.9125
7/5/2022,25.95414969,32.00379519,31.36764806,38.10501217,30.6299772,23.5068444,35.5783896,34.51745524,NA,35.09296328,40.22884909,26.970575,21.8775,32.470208,20.871042
7/6/2022,21.36908307,31.64276147,21.70297793,31.6544093,22.97102011,20.24244374,29.98534508,23.78357002,NA,26.41562295,33.8959793,24.532301,21.517708,26.655208,25.913333
7/7/2022,17.09225147,20.58072856,20.17092056,38.99887469,22.57209298,20.40975424,27.87797791,32.53497574,NA,28.38167287,32.0822282,18.423673,16.622292,21.1225,16.748542
7/8/2022,18.0474199,21.00274575,21.56461216,24.71896963,22.65962755,22.4504889,13.179102,16.59185843,NA,40.90040128,33.64233708,24.186504,20.999375,23.945833,24.413958
7/9/2022,17.38397357,27.54799856,25.51551847,36.66717949,25.78019822,23.29449142,NA,22.3435529,NA,26.75589459,29.58171356,23.468805,20.926667,23.848958,23.875833
7/10/2022,21.42887781,25.0155312,24.32018753,35.50228957,25.25489611,26.72413239,NA,36.85127492,NA,27.36150307,32.65152443,22.348009,22.129167,23.944167,22.032708
7/11/2022,17.7198521,33.23564175,17.33919325,43.55147744,19.38468517,25.3351135,NA,44.87272974,NA,32.50896882,29.99668764,27.375,22.218958,27.702917,28.382292
7/12/2022,21.19585988,29.74816726,33.12771579,42.29554963,28.62299302,24.48672951,NA,28.10289231,NA,36.41138186,36.06296199,19.386504,21.42125,25.388333,21.049375
7/13/2022,22.80779249,29.39762633,33.29270924,43.32872827,29.21156399,26.40048935,NA,36.30689016,NA,31.02107377,35.75325207,24.41615,19.033333,24.7575,20.824583
7/14/2022,28.57043143,38.8627691,38.0117719,47.17456061,32.15643198,32.61525892,NA,37.29179685,NA,38.22812965,48.51736658,25.913542,28.281458,28.151042,27.42875
7/15/2022,23.09679073,20.07449395,20.76411277,23.47368576,22.7983451,21.91221622,NA,10.11055724,NA,20.74778094,24.16737937,24.283958,23.085,25.622292,20.494792
7/16/2022,13.20171131,13.92229055,16.69358722,19.44246765,19.34972302,17.71378704,NA,10.55828245,NA,18.38340438,20.43315642,18.482743,15.75,19.247917,14.399375
7/17/2022,12.89339821,15.01794869,14.2089226,15.7552273,16.72444221,16.03482434,NA,9.851471097,NA,14.74088143,16.72193975,17.126106,14.75125,20.075625,14.239375
7/18/2022,11.38561616,14.58300121,13.08561045,17.74133499,15.92448194,14.86922124,NA,12.49059494,NA,16.04824361,17.92580294,17.330531,9.654545,18.316042,11.1975
7/19/2022,19.16955147,27.18430504,26.13523603,34.04542112,23.54714969,23.38299405,NA,34.81592085,NA,28.7766763,29.82152968,19.9575,16.723542,22.518542,18.352917
7/20/2022,17.643972,28.35814127,23.11397446,36.74408157,23.61663398,19.30487745,27.17894089,25.63009924,NA,28.24853361,31.43425921,19.870208,19.852708,21.513187,22.631042
7/21/2022,12.64436958,26.51855187,23.12219142,34.15168162,23.26702677,18.0352295,29.99674529,22.91783145,NA,25.61221886,32.99483079,25.61792,22.219167,24.52875,19.652292
7/22/2022,18.97473727,20.25370099,25.96906863,35.76494141,22.17245375,20.32817262,28.36345551,27.45486649,NA,27.7803593,24.82656954,22.656667,20.455,26.93125,17.520208
7/23/2022,20.64893701,26.41594541,29.80989395,37.10741678,26.09543707,23.3750669,32.88396258,31.78427468,NA,30.43780032,28.54471599,27.143805,22.741042,23.891667,19.961875
7/24/2022,14.66922083,28.33646869,24.86890666,31.04168143,24.90102092,21.06347309,28.11960875,22.97420564,NA,26.53539025,27.28183221,28.127876,21.735833,26.169375,21.489583
7/25/2022,16.65391662,29.08132646,28.40905117,34.88245865,23.71081219,22.09762594,30.3849383,24.69891667,NA,30.8003635,31.69920014,19.370417,18.857083,17.657708,18.718056
7/26/2022,20.82104249,36.34409789,31.07098623,52.90378203,28.3934775,33.71778204,37.83552618,46.47735125,NA,50.40013658,40.87022643,25.00625,22.932917,17.760208,22.106681
7/27/2022,24.61723298,35.16646637,41.82810013,56.453345,34.84985348,38.82363191,41.03409991,32.97210051,NA,47.88027258,47.0667895,38.592708,44.534792,44.660625,39.151667
7/28/2022,20.86189537,33.77039938,31.05810928,47.52180601,26.06085386,32.54533338,37.38838021,15.83784956,NA,39.50031884,35.67357702,35.280625,36.339167,35.479792,35.316458
